PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Salem-Karur (NS-2/TN-3) Highway Project,772,New Unit,3239.4,Completed,Build Operate Transfer,Aug-09,Tamil Nadu,01-Jul-06,01/07/06,3239.4,3239.4,0
Salem-Namakkal Highway Project,332,New Unit,2500,Completed,Build Operate Transfer,Aug-09,Tamil Nadu,01-Dec-03,01/07/09,2500,3800,-1300
Salur Town Bypass Road in Raipur-Vizag section of NH-26 Project,1860,New Unit,708.1,Under Implementation,,,Chhattisgarh,01-Mar-15,16/10/20,708.1,401,307.1
Samakhiali-Gandhidham (Package I) Highway Project,23,Substantial Expansion,400,Completed,"Engineering, Procurement & Construction",Sep-00,Gujarat,01-Jun-98,01/06/98,400,400,0
Samakhiyali to Santalpur (NH-27) Six Lane Highway Project,2087,Substantial Expansion,21320,Under Implementation,Build Operate Transfer Toll,,Gujarat,01-Apr-22,21/02/23,21320,21320,0
Samakhiyali-Bhachau N H-8 A Project,25,Renovation & Modernisation,400,No Information,,,Gujarat,01-Dec-97,01/12/97,400,400,0
Samarlakota-Achampeta Junction Four Lane Road (NH-516F) (Part of Kakinada Port Connectivity to NH-16) Project,2065,Substantial Expansion,6390,Under Implementation,"Engineering, Procurement & Construction",,Andhra Pradesh,01-Jul-21,22/09/22,6390,4162.1,2227.9
Samayapuram Service Road connecting Chennai-Tiruchi Highway project,1550,New Unit,127.7,Completed,,Nov-19,Tamil Nadu,01-Mar-18,12/11/19,127.7,130,-2.3
Samrala Chowk-Ludhiana Municipal Limit (NH-95 & 5) Four Lane Highway Project,1169,Substantial Expansion,8954.5,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Punjab,30-Sep-14,22/07/21,8954.5,8677.2,277.3
Sanath Nagar Industrial Cluster (Hyderabad)-JNPT Expressway Project,1743,New Unit,220000,No Information,,,Maharashtra,01-Apr-16,31/07/19,220000,220000,0
Sanathnagar industrial cluster-Hyderabad to Vodarevu Expressway Project (Port Connectivity),1720,Substantial Expansion,100000,No Information,,,Telangana,01-Dec-16,09/08/20,100000,100000,0
Sanchi-Sagar NH-86 (Extn) (New NH-146) Widening Highway Project,781,Renovation & Modernisation,2873.4,Completed,"Engineering, Procurement & Construction",Aug-20,Madhya Pradesh,19-May-10,23/08/20,2873.4,1250,1623.4
Sanganur NH 209 Bridge Project,448,Substantial Expansion,14.6,No Information,,,Tamil Nadu,05-Feb-07,05/02/07,14.6,14.6,0
Sangareddy-Nanded-Akola (NH-161) Four-Lane Highway Project,1195,New Unit,23000,Under Implementation,,,Maharashtra,31-May-16,11/08/17,23000,23000,0
Sankha-Khajuri (NH-75) Four Lane Highway project (Rehla/Garhwa Bypass) (Package 4 of Garhwa-UP Border),1676,Substantial Expansion,9034.7,Under Implementation,Hybrid Annuity,Oct-23,Jharkhand,01-Apr-18,21/12/22,9034.7,5743.4,3291.3
Sanquelim-Jamboti-Belagavi Two Lane Road (NH-748AA) Project,1964,New Unit,2467.8,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Nov-21,24/02/22,2467.8,2291.9,175.9
Saoner (NH-547E) Four Laning bypass Project (on Saoner-Dhapewada Gondkhairi Road),1173,Substantial Expansion,1386.1,No Information,"Engineering, Procurement & Construction",,Maharashtra,15-Jan-15,15/01/15,1386.1,1386.1,0
Saoner-Dhapewada-Kalmeshwar-Gondkhairi (NH-547E) Four Lane Highway Project,1682,Substantial Expansion,7200,Completed,"Engineering, Procurement & Construction",Jan-22,Maharashtra,01-Apr-16,15/01/22,7200,4800.6,2399.4
Sarai Cholla-Morena (NS-20/MP) Highway Project,191,Substantial Expansion,514.2,Completed,"Engineering, Procurement & Construction",Aug-04,Madhya Pradesh,01-May-01,01/04/04,514.2,600,-85.8
Saraighat Double Decker Rail cum Road Bridge across Brahmaputra River (Near Existing Saraighat Bridge) Project,2066,New Unit,9967.5,Under Implementation,,,Assam,15-Apr-17,28/09/22,9967.5,11266.7,-1299.2
Saraighat Second Bridge over Brahmhaputra Project,1240,New Unit,4750,Completed,,Jan-17,Assam,30-Jun-06,28/01/17,4750,2383.4,2366.6
Sardar Patel Ring Road-Sindhrej Village (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package 1) (Bharatmala),1704,New Unit,7935.4,Under Implementation,"Engineering, Procurement & Construction",Mar-24,Gujarat,20-Mar-10,28/12/18,7935.4,7935.4,0
Sargaon-Bilaspur (NH-130) Four Laning Highway (Package-III of Raipur-Bilaspur) Project,1136,Substantial Expansion,5350,Completed,"Engineering, Procurement & Construction",Sep-18,Chhattisgarh,14-Oct-09,31/10/17,5350,4131.8,1218.2
Sarkhej(Ahemdabad)-Mundra Expressway Project,1734,Substantial Expansion,100000,No Information,,,Gujarat,01-Apr-16,31/07/19,100000,100000,0
Sarkhej-Ahmedabad-Pipavav Expressway Project (Port Connectivity) (Sagarmala),1717,New Unit,90000,Announced,,,Gujarat,01-Apr-16,03/06/16,90000,90000,0
Sasaram-dehri-on-sone (GTRIP/IV-C) Highway Project,691,New Unit,2218.7,Completed,"Engineering, Procurement & Construction",Jul-08,Bihar,01-Mar-02,01/03/02,2218.7,2218.7,0
Satai Ghat-Chauka (Chhatarpur) (NH-34&934) Four Lane Highway Project,2084,Substantial Expansion,10710,Under Implementation,,,Madhya Pradesh,01-Nov-22,23/01/23,10710,10710,0
Satna-Maihar Two Lane Highway (NH-135BG) Project,1918,New Unit,6150,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,01-Apr-19,17/09/21,6150,4408.1,1741.9
Savali Vihir to start of Ahmednagar Bypass (NH-160) Four Lane Highway Project,1892,Substantial Expansion,4301.1,Under Implementation,,,Maharashtra,01-Jan-21,12/01/21,4301.1,4301.1,0
Sector 29/31 roundabout (Tribune Chowk) Flyover Project,1509,New Unit,1580,Under Implementation,,,Chandigarh,06-Jun-16,27/07/19,1580,3000,-1420
Seelapadi Vehicular Underpass (VUP) Project,1968,New Unit,210,Announced,,,Tamil Nadu,01-Jan-22,02/03/22,210,210,0
Seoni-MP/MH Border (NH-7) (Delinked Stretch) Four Laning Highway Project,1329,Substantial Expansion,9602.4,Completed,"Engineering, Procurement & Construction",Feb-21,Madhya Pradesh,30-Apr-16,31/08/19,9602.4,5668,3934.4
Service Road from Rau Circle-DPS School on Indore Bypass Project,2053,New Unit,425.8,Under Implementation,,,Madhya Pradesh,01-Jan-22,25/07/22,425.8,425.8,0
Service Road on Ahmadabad Bypass Section Project,368,New Unit,75,No Information,,,Gujarat,01-Dec-03,01/12/03,75,75,0
Sethiyahopu-Cholopuram (NH-45C) Four Laning Highway (Pkg-II of Vikravandi-Thanjavur) Project,1243,Substantial Expansion,12278.7,Under Implementation,Hybrid Annuity,,Tamil Nadu,27-Dec-16,31/12/18,12278.7,9562.3,2716.4
Sevoke-Gangtok (NH-31A) Highway Project,360,Substantial Expansion,9000,No Information,,,Sikkim,01-Dec-03,01/04/07,9000,9000,0
Shahapur-Pindari (NH-31) Four Lane Greenfield Highway Project (Package-II of Ghazipur-Ballia-UP/Bihar State Border),1646,Substantial Expansion,7839.2,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,12-Apr-17,02/08/22,7839.2,4766.6,3072.6
Shahganj Junction-Obedullaganj (NH-69) Four-Laning Highway Project,806,Substantial Expansion,1780,No Information,Design Build Finance Operate Transfer,,Madhya Pradesh,14-Sep-10,15/09/10,1780,1780,0
Shahpur Bypass-Muktainagar Four Lane Road (NH-753L) Project (Package-II of Boregaon Buzurg-Muktainagar Road),2078,Substantial Expansion,7843.5,Under Implementation,Hybrid Annuity,,Maharashtra,01-Jul-22,20/12/22,7843.5,5641.6,2201.9
Shahpura Tiraha Flyover Project,1970,New Unit,407.8,Under Implementation,,,Rajasthan,01-Apr-09,09/03/22,407.8,407.8,0
Shahpura-Gulabpura (NH-148D) Carriageway Improvement Project,877,Renovation & Modernisation,320.1,No Information,,,Rajasthan,11-Oct-11,11/10/11,320.1,320.1,0
Shambu-Jalandhar Six laning Highway Project,775,Substantial Expansion,18000,No Information,Build Operate Transfer Toll,,Punjab,23-Sep-09,23/04/12,18000,15000,3000
Shamli-Ambala Six Lane Greenfield Expressway Project (Part of Bareilly-Ludhiana Expressway),1931,New Unit,46000,Announced,"Engineering, Procurement & Construction",Dec-24,Haryana,01-Jan-21,29/11/22,46000,36938,9062
Shamli-Muzaffarnagar (NH-709AD) Four Lane Highway Project (Package 2 of Panipat-Nagina Highway),1641,Substantial Expansion,16220,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,10-Jun-16,20/02/19,16220,9419.9,6800.1
Shamo-Matihani Six Lane Bridge (Begusarai Bridge) Project,1846,New Unit,60000,Under Implementation,,,Bihar,01-Apr-06,19/10/22,60000,44123.4,15876.6
Shanti Chowk-Gentyal Chowk (NH-9) Four Lane Flyover Project,1408,Substantial Expansion,1444.9,No Information,"Engineering, Procurement & Construction",,Maharashtra,07-Nov-17,07/11/17,1444.9,1444.9,0
Shedgaon (NH-44) Four Lane VUP/Flyover Project,1904,New Unit,480,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,01-Apr-21,17/06/21,480,480,0
Shikohabad-Etawah (GTRIP/I-B) Highway Project,501,New Unit,2612.2,Completed,"Engineering, Procurement & Construction",Sep-08,Uttar Pradesh,01-Mar-02,01/07/08,2612.2,2360,252.2
Shimla Bypass (NH-5) (Parwanoo-Shimla Package-III) Two/Four Lane Highway Project,1068,Substantial Expansion,39150,Under Implementation,Hybrid Annuity,Apr-26,Himachal Pradesh,10-Feb-09,22/09/22,39150,6128.3,33021.7
Shivpuri Bypass & upto MP/RJ Border (NH-76&25) Highway Project,550,New Unit,3603.4,Completed,"Engineering, Procurement & Construction",Oct-08,Rajasthan,01-Mar-05,01/03/05,3603.4,3603.4,0
Shiwrampur-Ramnagar Four Lane Highway (Package-II of Amas-Darbhanga Expressway) Project,1890,Substantial Expansion,14943.1,Under Implementation,,Sep-24,Bihar,01-Mar-21,06/04/22,14943.1,10754.1,4189
Sikandara-Bhaunti (TNHP/II-A) Highway Project,148,Substantial Expansion,3110.9,Completed,"Engineering, Procurement & Construction",Mar-07,Uttar Pradesh,31-Jan-01,01/01/07,3110.9,2890,220.9
Silchar-Kolasib (NH-54) Highway Project,353,Substantial Expansion,8220,No Information,,,Mizoram,01-Dec-03,01/10/09,8220,8220,0
Silchar-Udarband (NH-54) Four-Laning Highway Project,274,Substantial Expansion,2700,Completed,"Engineering, Procurement & Construction",Mar-15,Assam,01-Dec-03,30/10/14,2700,1545.7,1154.3
Siliguri-Islampur (WB-6) Four Lane Highway Project,287,Substantial Expansion,1550,Completed,Public Private Partnership,Oct-08,West Bengal,01-Dec-03,01/12/03,1550,1550,0
Siliguri-Islampur (WB-7) Four-Laning Highway Project,701,Substantial Expansion,2250,Completed,"Engineering, Procurement & Construction",Mar-14,West Bengal,01-Dec-03,01/12/03,2250,2250,0
Simaria-Khagaria (NH-31) Four Laning Highway Project (Package 3 of Khagaria-Bakhtiarpur Highway),1073,Substantial Expansion,7250,Under Implementation,"Engineering, Procurement & Construction",,Bihar,12-Aug-08,13/02/19,7250,6072.5,1177.5
Simariya Tekri-Haripur Tiraha (NH-75) Four Laning Road Project,1424,Substantial Expansion,497.5,Completed,"Engineering, Procurement & Construction",Dec-19,Madhya Pradesh,01-Dec-17,05/12/19,497.5,672.7,-175.2
Simga-Sargaon (NH-130) Four Laning Highway (Package-II of Raipur-Bilaspur) Project,1135,Substantial Expansion,5966.7,Completed,"Engineering, Procurement & Construction",Feb-20,Chhattisgarh,14-Oct-09,28/12/15,5966.7,4784.3,1182.4
Simrahi To Ring Bund Missing link (BR-4) Road Project,710,New Unit,2160,Completed,,Mar-12,Uttar Pradesh,01-Dec-03,28/02/12,2160,1005,1155
Sindhrej Village-Vejalka Village (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package 2),1705,New Unit,8946,Under Implementation,"Engineering, Procurement & Construction",Mar-24,Gujarat,20-Mar-10,28/12/18,8946,8946,0
Singhara-Binjabahal (NH-6) (New NH-49) Four Laning Highway Project,946,Substantial Expansion,14200,Completed,Hybrid Annuity,Mar-22,Odisha,11-Nov-13,28/02/22,14200,10780,3420
Sinnar-Sirdi (NH-160) Four Lane Highway Project,1422,Substantial Expansion,13307.2,Under Implementation,Hybrid Annuity,Jun-23,Maharashtra,30-Apr-15,31/12/19,13307.2,9203.9,4103.3
Sira Bypass Highway Project,63,New Unit,193.2,Completed,"Engineering, Procurement & Construction",Apr-02,Karnataka,01-Nov-99,01/01/02,193.2,209,-15.8
Sirhind-Sehna Six Lane Access Controlled Highway Project,1928,Substantial Expansion,47335.8,Announced,"Engineering, Procurement & Construction",,Punjab,15-Jun-21,10/09/21,47335.8,47335.8,0
Sitarganj-Pilibhit-Bareily (NH-74) Two/Four Laning Road Project,1147,New Unit,24372.7,Under Implementation,Hybrid Annuity,,Uttar Pradesh,05-Feb-13,02/08/21,24372.7,3014,21358.7
Sitarganj-Tanakpur via Khatima (NH-125) Two Laning Highway Project,1031,New Unit,3687.3,Completed,"Engineering, Procurement & Construction",Nov-18,Uttarakhand,15-Jan-10,31/03/17,3687.3,2264.2,1423.1
Siwan-Madhubani-Sitamarhi-Indo/Nepal border Road Project,1133,New Unit,40000,No Information,,,Bihar,15-May-15,25/05/18,40000,40000,0
Six Lane Bridge over Phalguni River at Kuloor (NH-66) Project,1868,New Unit,690.2,Implementation Stalled,"Engineering, Procurement & Construction",,Karnataka,24-Jul-18,19/12/20,690.2,750,-59.8
Six Lane Elevated Road Project (on Kona Expressway to connect Vidyasagar Setu),2033,New Unit,8394,Announced,"Engineering, Procurement & Construction",Mar-26,West Bengal,01-Jan-16,04/04/23,8394,20000,-11606
Six Lane Flyover Near Tangra Town and Six Lane Vehicular Underpass (VUP) Near Mallian Town (NH-03) Project,2027,New Unit,536.4,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Punjab,01-Jan-21,06/02/21,536.4,536.4,0
Six Lane Flyover and Six Lane Vehicular Underpass (VUP) on Jalandhar-Amritsar Section of NH-03 Project,2026,New Unit,437.8,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Punjab,01-Jan-21,17/02/21,437.8,437.8,0
Six Lane Grade Separator Project (Barhi-Hazaribagh NH-20 section),1994,Substantial Expansion,442.6,Under Implementation,"Engineering, Procurement & Construction",,Jharkhand,01-Jan-21,21/12/22,442.6,442.6,0
Six Lane Jalandhar Bypass starting from Kahlwan (NH-3) ending at Kang Sahbu (NH-703) via Sarmastpur (NH-44)-Madara (NH-3)-Khajurla (NH-44) Project,1990,Substantial Expansion,12633.4,Under Implementation,Hybrid Annuity,,Punjab,01-Nov-20,01/02/21,12633.4,12080,553.4
"Six Lane Minor Bridge (Paloli Palam), Major Bridge (Moorad) and Carriageway (NH-66) Project",1661,New Unit,2102.1,Under Implementation,"Engineering, Procurement & Construction",,Kerala,06-Feb-19,12/10/20,2102.1,516.6,1585.5
Six Lane access controlled Highway from Junction with Jaitpur-Pushta Road-Junction with Sector-62/65 dividing Road on Faridabad-Ballabhgarh Bypass (NH-148NA) Project (Pkg-2) (Delhi-Mumbai Expressway),1678,Substantial Expansion,15458,Under Implementation,Hybrid Annuity,Mar-24,NCT of Delhi,26-Dec-18,28/02/19,15458,15458,0
Six Lane access controlled Highway from Junction with Sector-62/65 (on Faridabad -Ballabhgarh Bypass) to Junction near KMP E-way with NH-148N Project (Package-3) (Delhi-Mumbai Expressway),1679,Substantial Expansion,9082,Completed,Hybrid Annuity,Apr-23,Haryana,26-Dec-18,28/02/19,9082,9082,0
Six Laning of Gajuwaka-Gangavaram Port (NH-16) & Four Laning of Gangavaram Port to Beach Road Highway Project (Package-II) (Bharatmala),1437,Substantial Expansion,2150,Announced,"Engineering, Procurement & Construction",,Andhra Pradesh,29-Dec-17,29/12/17,2150,2150,0
Six Laning of Tuticorin Port Road (section of NH-7A New NH-138) Project,3014,Substantial Expansion,1648.2,Under Implementation,Hybrid Annuity,,Tamil Nadu,01-Jan-23,07/02/23,1648.2,1648.2,0
Six lane Capital Region Ring Road (Palatotapada (NH-16) to Kuspangi ( NH-42),1756,New Unit,57440,Under Implementation,,,Odisha,21-Jun-19,07/04/22,57440,25000,32440
Six lane Greenfield connectivity from DND-Faridabad-Ballabhgarh bypass to Jewar International Airport Project,1943,New Unit,30000,Under Implementation,Hybrid Annuity,Jun-25,Haryana,01-Jan-21,19/05/23,30000,21000,9000
Six-Lane Access-Controlled Spur to Haridwar from Delhi-Saharanpur-Dehradun Economic Corridor Project (Halgoya Village to Badheri Village),2024,New Unit,23250,Under Implementation,Hybrid Annuity,,Uttarakhand,01-Apr-21,11/05/21,23250,23250,0
Six-Laning of Aurangabad-Gorhar (Aurangabad-Barwa Adda) Road Project,1231,New Unit,10370,No Information,Build Operate Transfer,,Bihar,01-Apr-11,01/03/12,10370,10370,0
Sohna-Ballabhgarh-Tigaon-Gautam Buddh Nagar-Deota-Sikandrabad Four Laning Highway Project,1026,Substantial Expansion,11000,No Information,"Engineering, Procurement & Construction",,Haryana,01-Sep-14,09/09/14,11000,11000,0
Sohna-Gurugram Road near Alipur Village-KMP Expressway Eight Lane Carriageway Project (Package 1 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1612,Substantial Expansion,19945.2,Completed,"Engineering, Procurement & Construction",Feb-23,Haryana,31-Mar-98,25/03/21,19945.2,11440,8505.2
Solan-Kaithlighat (NH-5) (Parwanoo-Shimla Package-II) Two/Four Lane Highway Project,1067,Substantial Expansion,11350.8,Under Implementation,"Engineering, Procurement & Construction",Nov-23,Himachal Pradesh,10-Feb-09,31/12/22,11350.8,5053.6,6297.2
Sonapur-Guwahati (AS-3) Four-Laning Highway Project,713,Substantial Expansion,4920,Completed,"Engineering, Procurement & Construction",Aug-19,Assam,01-Dec-03,31/12/11,4920,2450,2470
Sonepat-Baghpat Six Lane Expressway Project (Package 1 of Eastern Peripheral Expressway),438,New Unit,7920,Completed,"Engineering, Procurement & Construction",May-18,Uttar Pradesh,31-Jan-95,30/04/17,7920,7711.8,208.2
Sonepurbigha Village to Junction with NH-22 (Chatra Bypass) near Chatra Four/Six Lane Greenfield Access Control Expressway Project (Package-8 of Varanasi-Kolkata Expressway),1981,New Unit,17280,Under Implementation,"Engineering, Procurement & Construction",,Jharkhand,01-Aug-21,18/05/23,17280,17280,0
Sonpur (Bakarpur)-Manikpur (NH-139 W) Four Lane Highway (Package 2 of Patna (AIIMS)-Bettiah Section) Project,1901,Substantial Expansion,8677,Under Implementation,,Dec-25,Bihar,01-Mar-21,03/02/23,8677,6054.6,2622.4
Srikakulam-Icchapuram-Visakha. Bridges-AP5&6 Project,143,New Unit,791.4,No Information,,,Andhra Pradesh,01-Jun-01,01/07/03,791.4,1501.4,-710
Srinagar Bypass (NS-30) Project,237,Substantial Expansion,1680,Completed,,Dec-13,Jammu & Kashmir,01-Dec-02,01/12/02,1680,1680,0
Srinagar Four Lane Ring Road (Galander-Sumbel Road) Project,924,Substantial Expansion,20126.1,Under Implementation,"Engineering, Procurement & Construction",Feb-24,Jammu & Kashmir,01-Sep-12,31/12/19,20126.1,9909.4,10216.7
Srinagar Two Lane Ring Road (Narbal-Wayul Road) Project,1460,New Unit,6190,Under Implementation,,Feb-24,Jammu & Kashmir,01-Sep-12,22/07/19,6190,4480,1710
Sriperumbudur-Karaipettai (NH-48) Six Lane Highway (Pkg-1) Project,1220,Substantial Expansion,7775.2,Under Implementation,"Engineering, Procurement & Construction",Mar-24,Tamil Nadu,22-Aug-09,22/07/21,7775.2,10450,-2674.8
Start of DSIR Zone-Adhelai Village (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package-4),1707,New Unit,9646.8,Under Implementation,"Engineering, Procurement & Construction",Mar-24,Gujarat,20-Mar-10,25/02/19,9646.8,9646.8,0
Start of Kollam Bypass- Kadambattukonam (NH-66) (Old NH-47) Six Lane Highway Project (Bharatmala),1894,Substantial Expansion,30240,Under Implementation,Hybrid Annuity,,Kerala,01-Oct-19,15/12/22,30240,12828.8,17411.2
Start of Shahjahanpur Bypass to End of Hardoi Bypass (NH-731) Four Lane Highway Project (Package-II of Palia-Shahjahanpur-Hardoi-Lucknow Highway),2067,Substantial Expansion,23074.7,Under Implementation,Hybrid Annuity,,Uttar Pradesh,01-Nov-10,03/02/23,23074.7,23074.7,0
Subhash Square-Pardi Octroi Post Four Lane Cement Road Project (on Bhandara Road),1059,New Unit,240,No Information,,,Maharashtra,15-Jan-15,29/01/15,240,240,0
Subway/LVUP at Adhegaon Junction and Mohol Junction on NH-65 (Pune-Solapur Section) Project,2028,New Unit,442.6,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,01-Apr-21,25/04/22,442.6,442.6,0
Suhagada-Bardiya Amra (NH-148) Four Lane Highway Project (Package-3 of Ujjain-Garoth Section),1962,Substantial Expansion,9520,Under Implementation,Hybrid Annuity,,Madhya Pradesh,01-Jan-19,24/02/22,9520,6379.4,3140.6
Sultanpur-Varanasi (NH-56) Four Laning Highway Project (Package-I),895,Substantial Expansion,26283.1,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Jul-11,14/11/22,26283.1,10275.3,16007.8
Sultanpur-Varanasi (NH-56) Four Laning Highway Project (Package-II),1074,Substantial Expansion,26039.9,Completed,"Engineering, Procurement & Construction",Feb-23,Uttar Pradesh,01-Jul-11,16/12/21,26039.9,8152.8,17887.1
Sumdoh-Kaza-Gramphu (NH-505) Two Lane Road Project,1845,Substantial Expansion,2000,Announced,,,Himachal Pradesh,04-Mar-14,14/06/20,2000,2000,0
Sundar Nagar Four Lane (NH-21) Bypass Project (Part of Kiratpur-Nerchowk Highway),1995,New Unit,1561.6,Under Implementation,"Engineering, Procurement & Construction",,Himachal Pradesh,01-Jan-22,13/01/22,1561.6,1561.6,0
Surat (Chalthan)-Atul Highway Project,37,Substantial Expansion,4104,Completed,,Jun-05,Gujarat,31-Oct-98,01/04/05,4104,5046,-942
Swaroopganj-Bakaria (NH-76&14) Highway Project,643,New Unit,2444.7,Completed,,Jun-09,Uttar Pradesh,30-Dec-03,30/12/03,2444.7,2444.7,0
Takoli-Kullu Section (NH-21) Four Laning Highway Project (Package-VI of Nerchowk-Kullu stretch),1048,Substantial Expansion,7517.5,Completed,"Engineering, Procurement & Construction",Sep-22,Himachal Pradesh,15-Nov-14,31/10/17,7517.5,4115.1,3402.4
Talaja-Mahuva (NH-8E) (Package-II Bhavnagar-Veraval Section) Four Lane Highway Project,1927,Substantial Expansion,6984,Under Implementation,Hybrid Annuity,,Gujarat,03-May-12,17/12/22,6984,8290,-1306
Talapady-Chengala (NH-66) Six Lane Highway Project,1345,Substantial Expansion,12763.2,Under Implementation,Hybrid Annuity,,Kerala,01-Mar-17,29/10/20,12763.2,16752.5,-3989.3
Talapady-Karwar Two Lane Road Project,453,New Unit,7800,No Information,,,Karnataka,12-Jun-07,11/02/20,7800,8000,-200
Talasari-Karvad Package-10 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),1625,Substantial Expansion,19097.4,Under Implementation,Hybrid Annuity,Mar-24,Gujarat,31-Mar-98,07/12/22,19097.4,11268,7829.4
Talcher-Kamakhyanagar Bypass (NH-149 & 53) Four Lane Road Project,1403,Substantial Expansion,6144.8,Under Implementation,"Engineering, Procurement & Construction",,Odisha,26-Oct-17,31/12/19,6144.8,7951.8,-1807
Talwandi Bhai-Firozpur (NH-05) Four Lane Highway Project,1418,Substantial Expansion,3545.1,Completed,"Engineering, Procurement & Construction",Feb-22,Punjab,01-Mar-17,18/05/18,3545.1,3386.5,158.6
Tamil Nadu/Karnataka Border-Bangalore (NH-209) Two/Four Laning Highway Project,785,New Unit,19583,Under Implementation,"Design, Build, Finance, Operate and Transfer (Toll) basis",,Karnataka,19-May-10,24/03/18,19583,6120,13463
Tamilnadu/Karnataka Border-Hoskote (NH-648) Four/Six Laning Highway Project,1200,Substantial Expansion,8000,Under Implementation,Hybrid Annuity,,Karnataka,29-Jul-16,09/08/20,8000,6250,1750
Tanda-Raibareilly Two Lane Highway Project,870,Substantial Expansion,8175.2,Completed,"Engineering, Procurement & Construction",Dec-18,Uttar Pradesh,05-Sep-11,06/02/14,8175.2,6920,1255.2
Tangi-Bhubaneshwar (NH-16) Six Laning Highway Project,1477,Substantial Expansion,11753,Completed,,Feb-23,Odisha,01-Jul-17,11/02/21,11753,9668.1,2084.9
Tangi-Chhatarpur-Satapada and Konark-Astarang-Naugaon-Paradwip Port-Ratanpur Two/Four Laning Highway Project (BM/18),1107,Substantial Expansion,27658,Under Implementation,,,Odisha,15-Apr-15,08/02/21,27658,21964.9,5693.1
Taran Taran Flyover to Golden Gate Stretch of Jalandhar-Amritsar Section (NH-03) Six Lane Road Project,2016,Substantial Expansion,933.2,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Punjab,01-Dec-20,26/12/20,933.2,933.2,0
Tatibandh Chowk (NH-6/53) Flyover Project,1551,New Unit,1200,Under Implementation,"Engineering, Procurement & Construction",May-23,Chhattisgarh,07-Sep-18,13/12/21,1200,886.7,313.3
Tejaji Nagar-Balwara (NH-347 BG) Four Lane Highway Project (Indore-Edlabad Package II) (Bharatmala),1851,Substantial Expansion,11628,Under Implementation,Hybrid Annuity,,Madhya Pradesh,27-Jul-16,25/07/22,11628,7470,4158
Telebani-Sambalpur (NH-6) Two/Four Lane Highway Project,1022,Substantial Expansion,7128.2,Completed,"Engineering, Procurement & Construction",Feb-23,Odisha,15-Mar-13,21/07/22,7128.2,6470,658.2
Tendesara Village to Khatti Village 4/6 Lane Highway Project (Package 1A of Durg-Raipur Bypass Section (NH-53) of Mumbai-Kolkata Economic Corridor) (Bharatmala),1547,Substantial Expansion,6952.4,Under Implementation,"Engineering, Procurement & Construction",,Chhattisgarh,01-Apr-17,30/08/18,6952.4,6952.4,0
Tetali Junction (NH-216A) Flyover Project,2064,New Unit,350,Under Implementation,,Mar-24,Andhra Pradesh,01-Oct-21,22/09/22,350,350,0
Thalassery-Mahe Bypass (NH-66) Four Laning Highway Project,1233,Substantial Expansion,8830,Under Implementation,"Engineering, Procurement & Construction",,Puducherry,01-Nov-11,13/12/22,8830,8136.6,693.4
Thalikulam-Kodungallur (NH-66) Six Lane Highway Project,1879,Substantial Expansion,39950,Under Implementation,Hybrid Annuity,,Kerala,01-Nov-20,15/12/22,39950,12317,27633
Thaliparambha-Muzhapilangad (NH-66) Six Lane Highway Project (Bharatmala),1803,Substantial Expansion,27370,Under Implementation,Hybrid Annuity,,Kerala,01-Jul-19,19/07/21,27370,15183.9,12186.1
Thanjavur-Pudukottai (NH-226) Two-Laning Highway Project,667,New Unit,2832.7,Completed,"Engineering, Procurement & Construction",Oct-17,Tamil Nadu,28-Oct-09,31/07/16,2832.7,1615.1,1217.6
Thankassery-Neendakara Road Project,1747,New Unit,4443.8,No Information,,,Kerala,12-Apr-18,15/05/18,4443.8,4443.8,0
Tharad-Ahmedabad Six/Eight Lane Greenfield Expressway Project,2041,Substantial Expansion,62000,Announced,"Engineering, Procurement & Construction",,Gujarat,01-Feb-22,19/01/23,62000,135672.5,-73672.5
Thevara-Kundanoor Willingdon Bridge Project,20,New Unit,530,Completed,,Jun-99,Kerala,01-Mar-97,01/04/99,530,355.8,174.2
